config,trace,instr,cycles,BRANCH_DIRECT_JUMP_mpki,BRANCH_INDIRECT_mpki,BRANCH_CONDITIONAL_mpki,BRANCH_DIRECT_CALL_mpki,BRANCH_INDIRECT_CALL_mpki,BRANCH_RETURN_mpki,BRANCH_DIRECT_JUMP_count,BRANCH_INDIRECT_count,BRANCH_CONDITIONAL_count,BRANCH_DIRECT_CALL_count,BRANCH_INDIRECT_CALL_count,BRANCH_RETURN_count
basic_btb,750.sealcrypto_r.sp0,200000000,96400824,6e-05,5e-05,0.0788,0.000245,9.5e-05,0.00026,469742,186007,2752435,929839,422,930259
basic_btb,750.sealcrypto_r.sp1,200000003,106499199,9.5e-05,9e-05,0.2464,0.00054,0.000125,0.000545,474975,196732,2769842,983448,332,983779
basic_btb,750.sealcrypto_r.sp2,200000003,99108484,0.000235,0.00016,0.00597,0.000645,0.000185,0.000675,645729,245914,3178315,1229390,478,1229873
basic_btb,753.ns3_r.sp0,200000000,123090582,0.09169,0.7858,1.128,0.2606,0.3109,0.9389,3010570,1906175,26508985,3895996,434249,4330250
basic_btb,753.ns3_r.sp1,200000003,118009756,0.08174,0.6715,0.8188,0.2234,0.2888,0.9102,3040844,1867110,26577468,3871690,433526,4305217
basic_btb,753.ns3_r.sp2,200000003,124273574,0.09684,0.8313,1.212,0.2709,0.3152,0.9373,2974476,1967050,26386261,3930813,437354,4368161
basic_btb,777.zstd_r.sp0,200000000,171361878,0.1055,0.000195,4.246,5e-06,0,3.5e-05,3549564,530,18628448,3098,105,3204
basic_btb,777.zstd_r.sp1,200000000,171045784,0.1315,4.5e-05,4.253,5e-06,0,2e-05,3789242,442,18312907,2571,89,2660
basic_btb,777.zstd_r.sp2,200000000,88722423,0.001105,4e-05,1.444,1.5e-05,0,3e-05,2582944,557,16086915,1039337,0,1039336
basic_btb,burntsushi__ripgrep-2576_w00000,200000002,190565051,0.2137,1.609,4.931,0.4692,0.3797,0.647,1343987,1136396,27843611,3288839,557725,3841712
basic_btb,burntsushi__ripgrep-2576_w00001,200000000,107366922,0.001085,1.073,0.3886,0.00141,0.01184,0.1575,1623497,3406794,25500978,1565110,481375,2045332
basic_btb,burntsushi__ripgrep-2576_w00002,200000002,115927258,1.33,0.00907,2.629,0.00553,1.322,4.191,5926582,180244,6654477,4130321,4946194,9074741
basic_btb,burntsushi__ripgrep-2576_w00003,200000004,913022864,0.1501,0.357,5.12,0.00155,1.59,0.6621,526475,566074,38138986,619449,6370174,6988341
basic_btb,gin-gonic__gin-3820_w00000,200000000,191098456,0.2105,1.622,4.88,0.4612,0.3815,0.6445,1338495,1143929,27723101,3293245,558601,3848768
basic_btb,gin-gonic__gin-3820_w00001,200000000,157673342,0.4756,0.2571,4.457,0.4873,1.978,1.276,4178037,101998,29160226,3192418,1123607,4269760
basic_btb,gin-gonic__gin-3820_w00002,200000002,141749214,0.2967,0.08717,2.181,0.3633,0.6767,1.159,3313961,32574,24719586,4147969,505196,4568267
basic_btb,gin-gonic__gin-3820_w00003,200000003,113710204,0.02366,1.888,1.342,0.02903,0.2057,0.3125,1814411,1808307,29621373,2061826,815715,2875997
basic_btb,immutable-js__immutable-js-2006_w00000,200000001,190228524,0.2099,1.618,4.875,0.4569,0.3787,0.6431,1339278,1142911,27805302,3292901,557444,3846223
basic_btb,immutable-js__immutable-js-2006_w00001,200000004,183888218,0.1963,0.445,4.269,0.1867,0.5294,0.6163,2686077,338249,25535956,3902266,371430,4188045
basic_btb,immutable-js__immutable-js-2006_w00002,200000001,134627546,0.2699,0.1901,1.969,0.3165,0.2888,0.7593,2858426,255677,26416035,3790684,212291,3916686
basic_btb,immutable-js__immutable-js-2006_w00003,200000001,180121416,0.2706,0.389,4.259,0.3197,0.6732,0.6617,2569447,302220,24980435,3959046,442033,4323140
basic_btb,prometheus__prometheus-15142.toolchain_w00000,200000001,125787255,0.224,0.002775,1.904,0.3905,0.0198,1.178,2868742,2270,22503194,4834927,38986,4626546
basic_btb,prometheus__prometheus-15142.toolchain_w00001,200000001,154593418,0.164,0.1848,1.783,0.1167,0.102,0.9518,3980965,95753,28286161,4359730,293841,4610203
basic_btb,prometheus__prometheus-15142.toolchain_w00002,200000003,194630021,0.07884,0.06347,2.253,0.0512,0.02461,0.4428,3728454,31887,26660963,3827968,97209,3886354
basic_btb,prometheus__prometheus-15142.toolchain_w00003,200000004,140791543,0.04984,0.001075,2.066,0.02495,0.00202,0.2532,3598611,327,23428527,3398205,553421,3910205
basic_btb,prometheus__prometheus-15142_w00000,200000001,190309874,0.2087,1.614,4.882,0.4527,0.3783,0.6394,1340903,1143558,27745991,3291834,557532,3845464
basic_btb,prometheus__prometheus-15142_w00001,200000003,108157256,0.02631,2.91,0.3023,0.02675,0.235,0.1446,1046412,2182114,28024060,2909155,455798,3364961
basic_btb,prometheus__prometheus-15142_w00002,200000001,101919015,0.02617,2.951,0.25,0.02617,0.2348,0.1449,1070720,2203886,27907817,2934955,459155,3394114
basic_btb,prometheus__prometheus-15142_w00003,200000002,151910308,0.04954,0.4512,0.9104,0.03613,0.01715,0.3466,2343677,1225186,28248278,3185489,218378,3357383
basic_btb,redis__redis-13115.toolchain_w00000,200000000,176368562,0.2,0.09427,2.326,0.4219,0.04299,0.6066,1422550,258905,18214206,3370174,42561,3385912
basic_btb,redis__redis-13115.toolchain_w00001,200000001,178116701,0.08347,0.004695,0.7911,0.01265,0.001435,0.09647,4886927,681089,25554129,5449207,29448,5463099
basic_btb,redis__redis-13115.toolchain_w00002,200000000,87615507,0.01455,0.02049,0.6025,0.01455,0.00283,0.4152,3616939,956157,22183585,4982184,358492,5322826
basic_btb,redis__redis-13115.toolchain_w00003,200000001,82229217,0.055,0.3695,0.9501,0.06681,0.1296,0.4379,1502885,981476,29529519,4711492,95642,4768950
basic_btb,redis__redis-13115_w00000,200000004,191217697,0.2122,1.618,4.923,0.4657,0.3813,0.645,1340333,1141333,27784682,3285943,558221,3840586
basic_btb,redis__redis-13115_w00001,200000002,171242145,0.2593,0.3145,3.998,0.384,0.09277,0.8875,1646708,388827,28178062,3808992,115125,3839799
basic_btb,redis__redis-13115_w00002,200000001,166584534,0.3223,0.3579,5.699,0.5172,0.1327,0.9505,1642019,375212,28127382,3747887,165628,3843751
basic_btb,redis__redis-13115_w00003,200000000,532529484,1.099,0.5613,3.504,0.1167,1.283,0.1814,2239988,1294762,33730624,2627001,1399561,4025098
basic_btb,rubocop__rubocop-13668.toolchain_w00000,200000001,149423814,0.238,0.9552,2.959,0.2824,0.08073,0.3867,2330790,695381,23209522,3894479,358147,4251023
basic_btb,rubocop__rubocop-13668.toolchain_w00001,200000000,143143252,0.2052,1.431,2.968,0.1651,0.1288,0.2915,2560167,842900,25945846,3752199,533075,4285220
basic_btb,rubocop__rubocop-13668.toolchain_w00002,200000004,133783428,0.02513,1.771,1.512,0.03583,0.01012,0.229,2856849,853940,26973105,3826115,669375,4495487
basic_btb,rubocop__rubocop-13668.toolchain_w00003,200000004,198068468,1.136,4.49,1.185,0.1272,1.166,0.2523,2621483,2460040,21875057,3438100,454029,3889525
basic_btb,rubocop__rubocop-13668_w00000,200000001,191450724,0.2132,1.636,4.889,0.4659,0.3787,0.6492,1337631,1151645,27665919,3291849,550778,3839149
basic_btb,rubocop__rubocop-13668_w00001,200000000,126500770,1.211,2.917,0.8057,0.04303,1.289,0.1127,2936479,3009905,22173962,2359426,421710,2779302
basic_btb,rubocop__rubocop-13668_w00002,200000003,183550189,1.021,2.5,1.118,0.0829,1.043,0.1979,2754256,2510435,21777716,3181829,638538,3817961
basic_btb,rubocop__rubocop-13668_w00003,200000004,111650739,0.00107,1.072,0.4262,0.001085,0.01018,0.1539,1631260,3361276,25662978,1544247,425847,1968815
blbp64_untuned,706.stockfish_r.sp0,200000000,138795922,0.000965,0.1191,4.868,0.01184,0.00014,0.03401,2009566,192645,15203047,1648859,4237,1653096
blbp64_untuned,706.stockfish_r.sp1,200000003,145739277,8.5e-05,0.1732,5.571,0.00631,5e-06,0.04018,1890249,209929,15908622,1658393,11,1658390
blbp64_untuned,706.stockfish_r.sp2,200000000,141199485,8.5e-05,0.1513,4.855,0.00791,0,0.01865,1885935,181712,15526242,1495433,0,1495426
blbp64_untuned,707.ntest_r.sp0,200000001,111475008,5e-06,0,2.187,0,0,0.02058,1193798,3554,9902725,2792298,0,2792293
blbp64_untuned,707.ntest_r.sp1,200000004,112078293,3.5e-05,0,2.33,5e-06,0,0.02708,1102657,4064,8753593,2555805,10,2555832
blbp64_untuned,707.ntest_r.sp2,200000004,113051793,5.5e-05,0,0.6586,3e-05,0,0.00189,925054,2933,5627153,2141141,6,2141133
blbp64_untuned,708.sqlite_r.sp0,200000000,174681878,1e-05,5e-06,0.02135,5e-06,0,5e-06,8394659,3043112,23399662,1147718,393457,1541175
blbp64_untuned,708.sqlite_r.sp1,200000004,171758657,0.00261,0.01055,2.014,0.001505,0.00037,0.104,3689725,1701518,27818776,2489608,799833,3289443
blbp64_untuned,708.sqlite_r.sp2,200000002,112654191,0.00099,0.01377,0.6083,5e-06,0,0.004,4870805,2002843,30168925,1496289,528775,2025065
blbp64_untuned,710.omnetpp_r.sp0,200000002,189741636,0.00121,0,6.895,4.5e-05,0.000315,0.00172,561500,613960,44860635,778398,407807,1186205
blbp64_untuned,710.omnetpp_r.sp2,200000003,245384049,0.8163,0.00022,2.675,0.0176,0.8089,1.029,2569700,1730054,21604710,3392407,2679525,6071927
blbp64_untuned,714.cpython_r.sp0,200000004,94959651,0.00054,0.00059,0.003455,0.00014,0.00014,0.000955,3561122,3085338,25261156,2806017,562356,3368371
blbp64_untuned,714.cpython_r.sp1,200000001,96966986,0.3232,3e-05,0.9699,0.08081,0,0.4847,3296169,2052009,27904125,3344642,484732,3829365
blbp64_untuned,721.gcc_r.sp1,200000001,155636241,0.133,0.05405,4.036,0.06978,0.04925,0.2615,3000985,358968,29282270,3165607,283659,3449273
blbp64_untuned,723.llvm_r.sp1,200000001,150854596,0.6332,0.3477,7.382,1.176,0.09218,0.5431,2945746,804418,27258443,4535660,158516,4694183
blbp64_untuned,723.llvm_r.sp2,200000003,106045599,0.03164,0.06848,0.7407,0.000365,1.5e-05,0.00145,1774234,978910,23664945,5607478,7958,5615436
blbp64_untuned,727.cppcheck_r.sp1,200000004,365479696,0.02997,0.000985,0.2722,0.00611,0.000745,0.05365,2783886,1874956,38324849,4049222,97085,4146302
blbp64_untuned,727.cppcheck_r.sp2,200000001,154072718,0.00059,1.5e-05,0.1781,0.00028,5e-06,0.00026,1633648,401871,44570339,3204586,11486,3216072
blbp64_untuned,729.abc_r.sp0,200000003,162444024,0.000105,0,11,1.5e-05,0,1.5e-05,3801460,2539,27530713,21062,0,21061
blbp64_untuned,729.abc_r.sp2,200000004,163085895,0.00013,1.5e-05,8.604,7e-05,0,6.5e-05,3539197,1181,28876751,7990,0,7990
blbp64_untuned,734.vpr_r.sp0,200000000,94485461,1e-05,0,2.192,0,0,5e-06,894270,1,42531436,561738,0,561738
blbp64_untuned,734.vpr_r.sp1,200000003,367616555,0.1059,0.00476,2.066,0.00068,1.5e-05,0.000795,2268056,2472799,31495203,3709136,31346,3740500
blbp64_untuned,735.gem5_r.sp1,200000004,132957580,0.08124,0.00174,0.6343,0.008835,0.08904,1.113,2872711,1730192,26584635,3133383,724627,3858014
blbp64_untuned,750.sealcrypto_r.sp0,200000000,96359493,6e-05,1e-05,0.0788,0.000245,3e-05,0.00026,469742,186007,2752435,929839,422,930259
blbp64_untuned,750.sealcrypto_r.sp1,200000003,106499209,9.5e-05,1e-05,0.2464,0.00054,5e-05,0.000545,474975,196732,2769842,983448,332,983779
blbp64_untuned,750.sealcrypto_r.sp2,200000003,99129814,0.000235,4e-05,0.00597,0.000645,5.5e-05,0.000675,645729,245914,3178315,1229390,478,1229873
blbp64_untuned,753.ns3_r.sp0,200000004,118613764,0.09168,0.03658,1.128,0.2606,0.0581,0.9389,3010574,1906176,26509000,3895999,434251,4330254
blbp64_untuned,753.ns3_r.sp1,200000003,113989696,0.08174,0.02215,0.8188,0.2234,0.04602,0.9102,3040844,1867110,26577468,3871690,433526,4305217
blbp64_untuned,753.ns3_r.sp2,200000003,119797534,0.09684,0.03498,1.212,0.2709,0.06037,0.9373,2974476,1967050,26386261,3930813,437354,4368161
blbp64_untuned,777.zstd_r.sp0,200000000,171361878,0.1055,0.000125,4.246,5e-06,0,3.5e-05,3549564,530,18628448,3098,105,3204
blbp64_untuned,777.zstd_r.sp1,200000000,171045784,0.1315,0,4.253,5e-06,0,2e-05,3789242,442,18312907,2571,89,2660
blbp64_untuned,777.zstd_r.sp2,200000000,88722423,0.001105,0,1.444,1.5e-05,0,3e-05,2582944,557,16086915,1039337,0,1039336
blbp64_untuned,burntsushi__ripgrep-2576_w00000,200000002,188488742,0.2137,1.135,4.931,0.4692,0.3232,0.647,1343987,1136396,27843611,3288839,557725,3841712
