trace,benchmark,weight,config,label,instructions,cycles,ipc,mpki,dir_mpki,cycwpki,accuracy,rv_delivered_pct,speedup,mpki_reduction_pct,dir_mpki_reduction_pct,cycwpki_reduction_pct
706.stockfish_r.sp2,706.stockfish_r,0.5774,cbp_runlts_rv,RUNLTS (load RV),200000001,140072702,1.427830,4.7140,4.4811,457.134,95.4200,20.84,1.008496,6.8564,7.2015,2.0423
706.stockfish_r.sp2,706.stockfish_r,0.5774,cbp_perfdir,Perfect direction,200000001,121688124,1.643546,0.2330,0.0000,52.618,99.7700,0.00,1.160859,95.3962,100.0000,88.7246
706.stockfish_r.sp2,706.stockfish_r,0.5774,cbp_perfall,Perfect direction+target,200000001,120737479,1.656486,0.0000,0.0000,0.000,100.0000,0.00,1.170000,100.0000,100.0000,100.0000
707.ntest_r.sp0,707.ntest_r,0.8041,cbp_tagescl64,TAGE-SC-L 64KB,200000001,111475008,1.794124,2.2080,2.1663,230.836,97.3500,0.00,1.000000,0.0000,0.0000,0.0000
707.ntest_r.sp0,707.ntest_r,0.8041,cbp_tagescl192,TAGE-SC-L 192KB,200000001,110718990,1.806375,1.9790,1.9376,215.346,97.6300,0.00,1.006828,10.3714,10.5588,6.7104
707.ntest_r.sp0,707.ntest_r,0.8041,cbp_ddtage,DD-TAGE (Ros),200000001,110434302,1.811032,1.8980,1.8565,207.094,97.7300,0.00,1.009424,14.0399,14.3006,10.2853
707.ntest_r.sp0,707.ntest_r,0.8041,cbp_runlts,RUNLTS (no RV),200000001,110270107,1.813728,1.8140,1.7724,204.291,97.8300,0.00,1.010927,17.8442,18.1826,11.4994
707.ntest_r.sp0,707.ntest_r,0.8041,cbp_runlts_rv,RUNLTS (load RV),200000001,110252043,1.814025,1.8150,1.7737,203.637,97.8200,14.62,1.011092,17.7989,18.1235,11.7830
707.ntest_r.sp0,707.ntest_r,0.8041,cbp_perfdir,Perfect direction,200000001,104044703,1.922251,0.0413,0.0000,1.188,99.9500,0.00,1.071415,98.1273,100.0000,99.4851
707.ntest_r.sp0,707.ntest_r,0.8041,cbp_perfall,Perfect direction+target,200000001,104045107,1.922243,0.0000,0.0000,0.000,100.0000,0.00,1.071410,100.0000,100.0000,100.0000
707.ntest_r.sp1,707.ntest_r,0.0958,cbp_tagescl64,TAGE-SC-L 64KB,200000004,112079273,1.784451,2.3570,2.2713,227.702,96.8500,0.00,1.000000,0.0000,0.0000,0.0000
707.ntest_r.sp1,707.ntest_r,0.0958,cbp_tagescl192,TAGE-SC-L 192KB,200000004,111533523,1.793183,2.1910,2.1051,218.351,97.0700,0.00,1.004893,7.0429,7.3188,4.1068
